CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
25.5025,0.119582,-67.1574,2.75004,-6.25865,-65.0424,2.75,8.69249,1.02396,2.75,-8.17465,0.318698,3.77799,6.8738,
25.5126,0.122388,-67.1667,2.75005,-6.25584,-65.0418,2.75,8.6939,1.02235,2.75,-8.17882,0.326543,3.8155,6.86746,
25.5227,0.125335,-67.1772,2.75,-6.25273,-65.0412,2.75,8.69543,1.02068,2.75,-8.18312,0.335445,3.85456,6.86083,
25.5328,0.128411,-67.1883,2.75002,-6.24975,-65.0405,2.74999,8.69673,1.01901,2.75,-8.18752,0.344809,3.89506,6.8539,
25.5429,0.13163,-67.1991,2.75,-6.2468,-65.0398,2.75,8.69802,1.01732,2.75,-8.19203,0.353933,3.93685,6.84663,
25.553,0.134953,-67.2095,2.75003,-6.24393,-65.0391,2.75,8.69927,1.01567,2.75,-8.19661,0.362359,3.97986,6.83904,
25.5631,0.138387,-67.2193,2.75002,-6.2412,-65.0384,2.75001,8.70048,1.01401,2.75,-8.2013,0.370226,4.02408,6.83107,
25.5732,0.141869,-67.2284,2.75,-6.23861,-65.0377,2.75,8.70164,1.01238,2.75,-8.20608,0.377782,4.06963,6.82276,
25.5833,0.145396,-67.2381,2.75002,-6.23563,-65.037,2.75,8.70309,1.01072,2.75,-8.21099,0.385596,4.11669,6.81403,
25.5934,0.148945,-67.2489,2.75,-6.23249,-65.0363,2.75,8.70452,1.00905,2.75,-8.21603,0.394293,4.16549,6.8049,
25.6035,0.152547,-67.2606,2.75008,-6.22916,-65.0356,2.75001,8.70601,1.00734,2.75,-8.22124,0.404149,4.21616,6.7953,
25.6136,0.156213,-67.2728,2.75004,-6.22578,-65.0348,2.75,8.70745,1.0056,2.75,-8.22659,0.415017,4.26879,6.78522,
25.6237,0.160006,-67.2851,2.75005,-6.22238,-65.034,2.75,8.70888,1.00381,2.75,-8.23211,0.42663,4.32332,6.77461,
25.6338,0.163952,-67.2977,2.75004,-6.21893,-65.0332,2.75,8.71031,1.00201,2.75,-8.23776,0.438572,4.37967,6.76346,
25.6439,0.168101,-67.3107,2.75002,-6.21538,-65.0323,2.75001,8.71174,1.00015,2.75,-8.24357,0.450281,4.43766,6.75175,
